symbol,name,valid_from,valid_to
AEFES,Anadolu Efes Malt,2026-07-01,2026-09-30
AKBNK,Akbank TAS,2026-07-01,2026-09-30
AKSA,Aksa Akrilik,2026-07-01,2026-09-30
AKSEN,Aksa Enerji Uretim,2026-07-01,2026-09-30
ALARK,Alarko Holding,2026-07-01,2026-09-30
ANSGR,Anadolu Sigorta,2026-07-01,2026-09-30
ARCLK,Arcelik AS,2026-07-01,2026-09-30
ASELS,Aselsan,2026-07-01,2026-09-30
BIMAS,BIM Magazalar,2026-07-01,2026-09-30
RALYH,Ral Yatirim,2026-07-01,2026-09-30
BRSAN,Borusan Birlesik,2026-07-01,2026-09-30
BRYAT,Borusan Yatirim,2026-07-01,2026-09-30
BSOKE,Batisoke Soke,2026-07-01,2026-09-30
BTCIM,Baticim,2026-07-01,2026-09-30
CCOLA,Coca Cola Icecek,2026-07-01,2026-09-30
CIMSA,Cimsa,2026-07-01,2026-09-30
DOAS,Dogus Otomotiv,2026-07-01,2026-09-30
DOHOL,Dogan Holding,2026-07-01,2026-09-30
ECILC,EIS Eczacibasi Ilac,2026-07-01,2026-09-30
EKGYO,Emlak Konut GYO,2026-07-01,2026-09-30
ENKAI,ENKA Insaat,2026-07-01,2026-09-30
EREGL,Erdemir,2026-07-01,2026-09-30
FENER,Fenerbahce,2026-07-01,2026-09-30
FROTO,Ford Otosan,2026-07-01,2026-09-30
GARAN,Garanti Bank,2026-07-01,2026-09-30
GSRAY,Galatasaray Sportif,2026-07-01,2026-09-30
GUBRF,Gubretas,2026-07-01,2026-09-30
TURSG,Turkiye Sigorta,2026-07-01,2026-09-30
HALKB,Turkiye Halk Bankasi,2026-07-01,2026-09-30
HEKTS,Hektas,2026-07-01,2026-09-30
TRENJ,TR Dogal Enerji,2026-07-01,2026-09-30
ISCTR,Turkiye Is Bankasi C,2026-07-01,2026-09-30
ISMEN,Is Yatirim Menkul Degerler,2026-07-01,2026-09-30
KCHOL,Koc Holding,2026-07-01,2026-09-30
TRMET,TR Anadolu Metal Madencilik,2026-07-01,2026-09-30
TRALT,Turk Altin Isletmeleri,2026-07-01,2026-09-30
KRDMD,Kardemir D,2026-07-01,2026-09-30
MGROS,Migros,2026-07-01,2026-09-30
OYAKC,Oyak Cimento,2026-07-01,2026-09-30
IEYHO,Isiklar Enerji Yapi Holding,2026-07-01,2026-09-30
OTKAR,Otokar,2026-07-01,2026-09-30
PETKM,Petkim,2026-07-01,2026-09-30
SAHOL,Sabanci Holding,2026-07-01,2026-09-30
SARKY,Sarkuysan,2026-07-01,2026-09-30
SASA,SASA Polyester,2026-07-01,2026-09-30
SISE,Sisecam,2026-07-01,2026-09-30
SKBNK,Sekerbank,2026-07-01,2026-09-30
TAVHL,TAV Havalimanlari,2026-07-01,2026-09-30
TCELL,Turkcell,2026-07-01,2026-09-30
THYAO,Turk Hava Yollari,2026-07-01,2026-09-30
TKFEN,Tekfen Holding,2026-07-01,2026-09-30
TOASO,Tofas,2026-07-01,2026-09-30
TSKB,Turkiye Sinai Kalkinma Bankasi,2026-07-01,2026-09-30
TTKOM,Turk Telekom,2026-07-01,2026-09-30
TUKAS,Tukas Gida,2026-07-01,2026-09-30
TUPRS,Tupras,2026-07-01,2026-09-30
